หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
PPPM,บริษัท พีพี ไพร์ม จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,เลขที่ 62-62/1 หมู่ที่ 2 ถนนรพช.อู่ตะเภา ตำบลหนองชุมพล อำเภอเขาย้อย เพชรบุรี,76140,0-3289-9881-4,0-3289-9885,https://www.ppprime.co.th/,
PPS,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,381/6 ซอยพระรามเก้า 58 (ซอย 7 เสรี 7) ถนนพระรามเก้า แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,10250,0-2718-2785-9,0-2300-5545-6,www.pps.co.th,
PQS,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 185 หมู่ที่ 14 ตำบลคำป่าหลาย อำเภอเมืองมุกดาหาร มุกดาหาร,49000,0-4264-3818,0-4264-3819,https://www.pqstarch.com,
PR9,บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน),SET,บริการ,การแพทย์,เลขที่ 99 ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2202-9999,0-2202-9998,http://www.praram9.com,
PRAKIT,บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,88 ซอยสุขุมวิท 62 แยก 3 แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,0-2332-8555,"0-2332-8522, 0-2332-8544",http://www.prakit.com,
PRAPAT,บริษัท พีรพัฒน์ เทคโนโลยี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,406 ถนนรัชดาภิเษก แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2290-1234,0-2290-1249,https://www.peerapat.com,
PREB,บริษัท พรีบิลท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,503 ชั้น1 ถนนบอนด์สตรีท ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี,11120,0-2960-1380-89,0-2960-1392,www.prebuilt.co.th,
PRECHA,บริษัท ปรีชากรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,1919 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,10250,0-2722-8855,0-2722-8844,www.preecha.com,
PRG,บริษัท พี อาร์ จี คอร์ปอเรชั่น จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,88 หมู่ที่ 2 ถนนติวานนท์ อำเภอเมือง ปทุมธานี,12000,0-2501-2175,0-2501-2176,www.prg.co.th,
PRI,บริษัท พรีโม เซอร์วิส โซลูชั่น จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,496 หมู่ 9 ซอยแบริ่ง 16 ถนนสุขุมวิท 107 ตำบลสำโรงเหนือ อำเภอเมือง สมุทรปราการ,10270,0-2081-0000,-,www.primo.co.th,
PRIME,บริษัท ไพร์ม โรด เพาเวอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 1 อาคารทีพีแอนด์ที ชั้น 22 ซอยวิภาวดีรังสิต19 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,10900,0-2105-8686,0-2257-7006,www.primeroadpower.com,
PRIN,บริษัท ปริญสิริ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,246 ถนนวัชรพล แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร,10220,0-2022-8988,-,http://www.prinsiri.com,
PRINC,บริษัท พริ้นซิเพิล แคปิตอล จำกัด (มหาชน),SET,บริการ,การแพทย์,เลขที่ 29 ชั้น 23 อาคารบางกอก บิสซิเนสเซ็นเตอร์ ถนนสุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2714-2171-3,0-2714-2185,www.principalcapital.co.th,
PRM,บริษัท พริมา มารีน จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 80 ซอยบางนา-ตราด 30 แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร,10260,0-2016-0190-4,0-2016-0199,www.primamarine.co.th,
